Timestamp,IP Address,MAC Address,User-Agent,Username,Input Data,Attack Type,Outcome
2025-02-27 15:01:50,192.168.1.59,00:88:27:71:23:43,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,hacker@123,Keylogger Detected,Blocked
2025-03-08 22:19:02,192.168.1.186,00:19:30:32:35:59,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-01-26 11:30:49,192.168.1.252,00:60:62:62:63:32,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,' OR '1'='1,SQL Injection,Blocked
2025-02-06 08:11:11,192.168.1.179,00:22:74:10:56:73,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-02-06 13:57:01,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),hitksh,Hit@1825!,Genuine,Success
2025-02-07 20:20:10,192.168.1.14,00:4E:5F:6A:7B:8C,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),snehapatil,Sneha$Patil@456,Genuine,Success
2025-02-14 19:29:14,192.168.1.14,00:4E:5F:6A:7B:8C,Safari/537.36 (Macintosh; Intel Mac OS X 11_2_3),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-03-03 23:48:34,192.168.1.179,00:70:82:80:97:63,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,hacker@123,Keylogger Detected,Blocked
2025-02-15 11:01:27,192.168.1.11,00:1B:3C:4D:5E:6F,Edge/116.0.1938.81 (Windows NT 10.0; Win64; x64),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-01-28 19:25:27,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Edge/116.0.1938.81 (Windows NT 10.0; Win64; x64),hitksh,Hit@1825!,Genuine,Success
2025-03-02 07:14:29,192.168.1.173,00:35:31:64:10:80,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,admin123,Brute Force,Blocked
2025-03-07 07:15:49,192.168.1.13,00:3D:4E:5F:6A:7B,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),priyaverma,Priya#Secure789,Genuine,Success
2025-02-02 21:05:13,192.168.1.12,00:2C:3D:4E:5F:60,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-02-04 22:49:49,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Safari/537.36 (Macintosh; Intel Mac OS X 11_2_3),priyaverma,Priya#Secure789,Genuine,Success
2025-02-14 18:16:34,192.168.1.61,00:67:95:66:56:40,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-03-12 02:56:35,192.168.1.153,00:96:56:10:59:19,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,password,Credential Stuffing,Blocked
2025-03-06 05:58:24,192.168.1.112,00:48:48:72:54:98,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,hacker@123,Keylogger Detected,Blocked
2025-02-28 14:57:11,192.168.1.128,00:60:71:67:45:18,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,admin123,Brute Force,Blocked
2025-01-26 07:38:33,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Edge/116.0.1938.81 (Windows NT 10.0; Win64; x64),snehapatil,Sneha$Patil@456,Genuine,Success
2025-01-29 19:38:54,192.168.1.13,00:3D:4E:5F:6A:7B,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),hitksh,Hit@1825!,Genuine,Success
2025-01-27 19:29:49,192.168.1.220,00:28:31:12:85:11,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,admin123,Brute Force,Blocked
2025-02-06 14:07:25,192.168.1.14,00:4E:5F:6A:7B:8C,Brave/92.0.4515.159 (Windows NT 10.0; Win64; x64),snehapatil,Sneha$Patil@456,Genuine,Success
2025-02-02 02:07:57,192.168.1.245,00:41:69:67:23:64,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,' OR '1'='1,SQL Injection,Blocked
2025-03-01 16:07:29,192.168.1.13,00:3D:4E:5F:6A:7B,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),priyaverma,Priya#Secure789,Genuine,Success
2025-03-05 15:20:21,192.168.1.226,00:27:59:77:70:30,Brave/95.0.4638.69 (Macintosh; Intel Mac OS X 10_15_7),unknown,hacker@123,Keylogger Detected,Blocked
2025-01-23 13:53:45,192.168.1.13,00:3D:4E:5F:6A:7B,Brave/92.0.4515.159 (Windows NT 10.0; Win64; x64),snehapatil,Sneha$Patil@456,Genuine,Success
2025-03-13 00:12:13,192.168.1.12,00:2C:3D:4E:5F:60,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),hitksh,Hit@1825!,Genuine,Success
2025-03-07 02:31:16,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Brave/92.0.4515.159 (Windows NT 10.0; Win64; x64),snehapatil,Sneha$Patil@456,Genuine,Success
2025-02-06 22:09:19,192.168.1.203,00:55:19:87:61:93,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,password,Credential Stuffing,Blocked
2025-03-12 14:27:06,192.168.1.215,00:21:57:83:12:54,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,' OR '1'='1,SQL Injection,Blocked
2025-03-14 23:30:07,192.168.1.13,00:3D:4E:5F:6A:7B,Edge/116.0.1938.81 (Windows NT 10.0; Win64; x64),priyaverma,Priya#Secure789,Genuine,Success
2025-02-05 16:55:58,192.168.1.141,00:19:11:46:53:74,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-03-13 22:11:04,192.168.1.13,00:3D:4E:5F:6A:7B,Brave/92.0.4515.159 (Windows NT 10.0; Win64; x64),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-02-28 01:58:39,192.168.1.212,00:56:48:41:98:60,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,' OR '1'='1,SQL Injection,Blocked
2025-02-22 07:02:02,192.168.1.224,00:43:71:16:83:98,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,' OR '1'='1,SQL Injection,Blocked
2025-03-07 03:27:24,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),amitsharma,Amit!Sharma#999,Genuine,Success
2025-03-13 05:42:28,192.168.1.12,00:2C:3D:4E:5F:60,Brave/92.0.4515.159 (Windows NT 10.0; Win64; x64),amitsharma,Amit!Sharma#999,Genuine,Success
2025-02-17 01:36:24,192.168.1.12,00:2C:3D:4E:5F:60,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),hitksh,Hit@1825!,Genuine,Success
2025-01-27 20:21:16,192.168.1.13,00:3D:4E:5F:6A:7B,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),amitsharma,Amit!Sharma#999,Genuine,Success
2025-03-01 17:23:35,192.168.1.11,00:1B:3C:4D:5E:6F,Edge/116.0.1938.81 (Windows NT 10.0; Win64; x64),snehapatil,Sneha$Patil@456,Genuine,Success
2025-02-06 20:44:12,192.168.1.88,00:95:33:41:92:86,Brave/95.0.4638.69 (Macintosh; Intel Mac OS X 10_15_7),unknown,' OR '1'='1,SQL Injection,Blocked
2025-03-19 02:19:47,192.168.1.43,00:79:77:44:58:53,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,hacker@123,Keylogger Detected,Blocked
2025-03-06 13:59:00,192.168.1.11,00:1B:3C:4D:5E:6F,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),hitksh,Hit@1825!,Genuine,Success
2025-02-27 07:38:56,192.168.1.12,00:2C:3D:4E:5F:60,Safari/537.36 (Macintosh; Intel Mac OS X 11_2_3),hitksh,Hit@1825!,Genuine,Success
2025-01-20 12:20:30,2401:4900:1cb2:9d6:5165:c012:cf2a:400e,40-C2-BA-7B-9D-88,Safari/537.36 (Macintosh; Intel Mac OS X 11_2_3),amitsharma,Amit!Sharma#999,Genuine,Success
2025-01-26 20:54:09,192.168.1.160,00:72:19:48:40:28,Chromium/91.0.4472.114 (X11; Linux x86_64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-02-18 01:07:57,192.168.1.248,00:90:70:48:20:18,Brave/95.0.4638.69 (Macintosh; Intel Mac OS X 10_15_7),unknown,session_token_hijack,Session Hijacking,Blocked
2025-03-11 01:04:58,192.168.1.126,00:50:40:77:79:79,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,session_token_hijack,Session Hijacking,Blocked
2025-02-28 02:09:35,192.168.1.127,00:61:37:46:89:19,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,hacker@123,Keylogger Detected,Blocked
2025-03-11 21:12:07,192.168.1.207,00:77:55:96:46:62,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,admin123,Brute Force,Blocked
2025-02-15 05:25:38,192.168.1.168,00:70:32:21:86:95,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,password,Credential Stuffing,Blocked
2025-02-08 23:04:32,192.168.1.11,00:1B:3C:4D:5E:6F,Chrome/110.0.5481.177 (Windows NT 10.0; Win64; x64),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-02-15 22:07:46,192.168.1.133,00:98:21:33:66:99,Brave/95.0.4638.69 (Macintosh; Intel Mac OS X 10_15_7),unknown,admin123,Brute Force,Blocked
2025-02-17 04:39:50,192.168.1.196,00:69:45:11:33:42,Safari/537.36 (Windows NT 10.0; Win64; x64),unknown,hacker@123,Keylogger Detected,Blocked
2025-01-24 17:58:30,192.168.1.151,00:78:18:40:13:98,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,hacker@123,Keylogger Detected,Blocked
2025-02-13 23:31:20,192.168.1.200,00:66:92:66:53:83,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,hacker@123,Keylogger Detected,Blocked
2025-02-11 22:47:29,192.168.1.14,00:4E:5F:6A:7B:8C,Chrome/91.0.4472.102 (X11; CrOS x86_64 13020.82.0),rahulnair,Rahul@Nair#2024,Genuine,Success
2025-03-12 18:56:35,192.168.1.113,00:69:16:65:46:54,Edge/91.0.864.64 (Windows NT 6.1; Win64; x64),unknown,hacker@123,Keylogger Detected,Blocked
2025-03-07 19:46:48,192.168.1.122,00:70:64:46:50:66,Brave/95.0.4638.69 (Macintosh; Intel Mac OS X 10_15_7),unknown,hacker@123,Keylogger Detected,Blocked
2025-02-12 01:39:13,192.168.1.105,00:72:11:90:75:41,Chrome/94.0.4606.81 (X11; Ubuntu; Linux x86_64),unknown,password,Credential Stuffing,Blocked
